"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M1 [Ante Natal Care Services ANC]","1.1","Total number of pregnant women Registered for ANC","TOTAL","154","7613","7008","-605","0","8014","8085","71","0","8113","5959","-2154","0","8235","5821","-2414","0","8032","6111","-1921","0","7849","6626","-1223","0","8649","6526","-2123","0","8436","6320","-2116","0","8509","7159","-1350","0","8191","5795","-2396","0","7115","6583","-532","0","8180","6819","-1361","0","96936","78812"
"M1 [Ante Natal Care Services ANC]","1.1.1","Of which Number registered within first trimester (within 12 weeks)","TOTAL","154","3825","4008","183","0","3985","3747","-238","0","4024","3139","-885","0","4329","3393","-936","0","4423","3487","-936","0","4347","3592","-755","0","4904","3693","-1211","0","4777","3808","-969","0","4875","3987","-888","0","4623","4159","-464","0","4635","3880","-755","0","4733","4119","-614","0","53480","45012"
"M1 [Ante Natal Care Services ANC]","1.2","Number of Pregnant women registered under JSY","TOTAL","154","1348","1859","511","0","1598","1535","-63","0","1685","1309","-376","0","1672","1394","-278","0","1819","2502","683","0","1916","1479","-437","0","1757","1364","-393","0","1791","1587","-204","0","1678",NA,"-1678","0","1735","1326","-409","0","1912","1691","-221","0","2119","1817","-302","0","21030","17863"
"M1 [Ante Natal Care Services ANC]","1.3","Number of pregnant women received 3 ANC check ups during pregnancy","TOTAL","154","6715","6526","-189","0","6534","6210","-324","0","6729","5670","-1059","0","6727","5695","-1032","0","6635","5772","-863","0","6588","6011","-577","0","7245","6162","-1083","0","7157","6168","-989","0","7373","6974","-399","0","8162","6116","-2046","0","7115","6496","-619","0","7214","6819","-395","0","84194","74619"
"M1 [Ante Natal Care Services ANC]","1.4.1","Number of pregnant women given TT1 during current pregnancy","TOTAL","154","7613","7008","-605","0","7613","8085","472","0","7451","5574","-1877","0","8235","5852","-2383","0","8032","6111","-1921","0","7849","6379","-1470","0","8649","6278","-2371","0","8436","6371","-2065","0","8509","7128","-1381","0","8191","5795","-2396","0","7115","6259","-856","0","8180","6819","-1361","0","95873","77659"
"M1 [Ante Natal Care Services ANC]","1.4.2","Number of pregnant women given TT2 or Booster during current pregnancy","TOTAL","154","7613","6594","-1019","0","6745","6660","-85","0","6797","5587","-1210","0","7198","6690","-508","0","7260","5585","-1675","0","7134","5862","-1272","0","7825","5937","-1888","0","7493","6820","-673","0","7583","6659","-924","0","7566","5807","-1759","0","7115","5958","-1157","0","7672","6183","-1489","0","88001","74342"
"M1 [Ante Natal Care Services ANC]","1.5","Total number of pregnant women given 100 IFA tablets","TOTAL","154","7613","6594","-1019","0","6745","7212","467","0","6797","6366","-431","0","7198","7878","680","0","7260","5585","-1675","0","7134","7909","775","0","7825","6989","-836","0","7493","7155","-338","0","7583","7889","306","0","7566","6314","-1252","0","7115","9131","2016","0","7672","6731","-941","0","88001","85753"
"M1 [Ante Natal Care Services ANC]","1.6.1","Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution","TOTAL","154","179","154","-25","0","251","114","-137","0","216","208","-8","0","302","179","-123","0","161","101","-60","0","379","115","-264","0","377","79","-298","0","145","422","277","0","144","171","27","0","179","259","80","0","220","77","-143","0","378","99","-279","0","2931","1978"
"M1 [Ante Natal Care Services ANC]","1.6.2","Number of Eclampsia cases managed during delivery","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"8","8","0",NA,NA,"0","0",NA,"33","33","0",NA,"3","3","0",NA,NA,"0","0",NA,"44"
"M1 [Ante Natal Care Services ANC]","1.7.1","Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases)","TOTAL","154","3176","1644","-1532","0","2379","1703","-676","0","2185","1234","-951","0","2050","1465","-585","0","2079","1195","-884","0","3924","1238","-2686","0","3559",NA,"-3559","0","3900","1297","-2603","0","4054","1576","-2478","0","4018","1068","-2950","0","3507","1128","-2379","0","4020","969","-3051","0","38851","14517"
